"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"BOOT1","1","BOOT","","","","Button_Switch_THT:SW_PUSH_6mm",""
"BZ1","1","Buzzer","","","","Buzzer_Beeper:Buzzer_12x9.5RM7.6",""
"C1","1","10uF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"C2","1","22uF","","","","Capacitor_Tantalum_SMD:CP_EIA-6032-28_Kemet-C_HandSolder",""
"C3","1","1uF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"D1","1","5V","","","","LED_SMD:LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder",""
"D2","1","3.3V","","","","LED_SMD:LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder",""
"D3","1","L","","","","LED_SMD:LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder",""
"HES1","1","Sensor 1","","","","Connector_JST:JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical",""
"HES2","1","Sensor 2","","","","Connector_JST:JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical",""
"HES3","1","Sensor 3","","","","Connector_JST:JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical",""
"HES4","1","Sensor 4","","","","Connector_JST:JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical",""
"HES5","1","Sensor 5","","","","Connector_JST:JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical",""
"HES6","1","Sensor 6","","","","Connector_JST:JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical",""
"J1","1","USB_C_Receptacle_USB2.0_16P","","","","Connector_USB:USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal","https://www.usb.org/sites/default/files/documents/usb_type-c.zip"
"M1","1","Motor 1","","","","Connector_JST:JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical",""
"M2","1","Motor 2","","","","Connector_JST:JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical",""
"M3","1","Motor 3","","","","Connector_JST:JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical",""
"MCAN1","1","Motor CAN","","","","Connector_JST:JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical",""
"Next1","1","B","","","","Button_Switch_THT:SW_PUSH_6mm",""
"POWER1","1","Board Power","","","","Connector_JST:JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical",""
"R1,R2,R5,R6,R7,R8","6","5.1k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"R3,R4","2","22","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"R9","1","120","","","","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
"R10,R11,R12","3","10k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"RESET1","1","RESET","","","","Button_Switch_THT:SW_PUSH_6mm",""
"Select1","1","A","","","","Button_Switch_THT:SW_PUSH_6mm",""
"U1","1","ESP32-S3-WROOM-1","","","","PCM_Espressif:ESP32-S3-WROOM-1","https://www.espressif.com/sites/default/files/documentation/esp32-s3-wroom-1_wroom-1u_datasheet_en.pdf"
"U2","1","DM-OLED096-636","","","","DM-OLED096-636:MODULE_DM-OLED096-636",""
"U3,U6,U8,U10","4","74AHCT125","","","","Package_DIP:DIP-14_W7.62mm","https://www.ti.com/lit/ds/symlink/sn74ahct125.pdf"
"U4","1","MCP2562-E-P","","","","Package_DIP:DIP-8_W7.62mm","http://ww1.microchip.com/downloads/en/DeviceDoc/25167A.pdf"
"U5","1","AMS1117-3.3","","","","Package_TO_SOT_SMD:SOT-223-3_TabPin2","http://www.advanced-monolithic.com/pdf/ds1117.pdf"
"UART0","1","UART0","","","","Connector_JST:JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical",""
