Designator,Footprint,Quantity,Value,LCSC Part #
A,SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL_H1.5,1,A,
B,SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL_H1.5,1,B,
BOOT,SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL_H1.5,1,BOOT,
BZ1,Buzzer_12x9.5RM7.6,1,Buzzer,
C1,0402,1,10uF,
"C2, C4",CP_EIA-3216-18_Kemet-A,2,10uF,
C3,0402,1,1uF,
CAN,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,1,Motor CAN,
D1,0603,1,5V,
D2,0805,1,3.3V,
D3,0805,1,L,
HES1,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,1,Sensor 1,
HES2,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,1,Sensor 2,
HES3,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,1,Sensor 3,
HES4,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,1,Sensor 4,
HES5,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,1,Sensor 5,
HES6,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,1,Sensor 6,
J4,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,1,USB_C_Receptacle_USB2.0_16P,
M1,JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical,1,Motor 1,
M2,JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical,1,Motor 2,
M3,JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical,1,Motor 3,
M4,JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical,1,Motor 4,
PANEL,JST_XH_B6B-XH-A_1x06_P2.50mm_Vertical,1,External interface,
POWER,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,1,Board Power,
"Q1, Q2, Q3",SOT-23,3,SS8050,
"R1, R2, R5, R6, R7, R8",0402,6,5.1k,
"R10, R11, R12, R13, R14, R15, R16, R17, R18, R19",0402,10,10k,
"R20, R21, R22",0402,3,1k,
"R3, R4",0402,2,22,
R9,0402,1,120,
RESET,SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL_H1.5,1,RESET,
SERVO,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,1,Servo,
U1,ESP32-S3-WROOM-1,1,ESP32-S3-WROOM-1-N16R8,
U2,TSSOP-24_L7.8-W4.4-P0.65-LS6.4-BL,1,SN74LVC4245APWR,SN74LVC4245APWR
U3,SOIC-8_3.9x4.9mm_P1.27mm,1,SN65HVD230,
U5,SOT-223-3_TabPin2,1,AMS1117-3.3,
UART0,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,1,UART0,
