Designator,Mid X,Mid Y,Rotation,Layer
A,64.6,14.0,0.0,top
B,86.1,14.15,0.0,top
BOOT,79.6,20.15,0.0,top
BZ1,79.6,32.0,0.0,top
C1,30.6,37.52,270.0,top
C2,42.6,40.0,270.0,top
C3,47.6,36.5,180.0,top
C4,45.6,40.0,270.0,top
CAN,75.1,7.0,270.0,top
D1,18.6,31.49,90.0,top
D2,21.6,31.49,90.0,top
D3,71.6,15.5,90.0,top
HES1,10.6,45.0,0.0,top
HES2,10.6,37.2,0.0,top
HES3,10.6,29.4,0.0,top
HES4,10.6,21.6,0.0,top
HES5,10.6,13.8,0.0,top
HES6,10.6,6.0,0.0,top
J4,24.6,45.5,180.0,top
M1,22.1,9.5,270.0,top
M2,31.1,9.5,270.0,top
M3,39.6,9.5,270.0,top
M4,48.1,9.5,270.0,top
PANEL,91.6,30.75,270.0,top
POWER,36.1,30.5,0.0,top
Q1,74.1625,25.0,180.0,top
Q2,53.6,11.0,270.0,top
Q3,53.6,5.5625,270.0,top
R1,22.6,38.5,90.0,top
R10,73.6,20.5,270.0,top
R11,48.1,26.99,90.0,top
R12,55.6,17.0,180.0,top
R13,54.1,14.0,180.0,top
R14,17.6,44.0,90.0,top
R15,17.1,37.5,270.0,top
R16,17.6,28.5,180.0,top
R17,17.1,25.0,270.0,top
R18,17.1,12.5,90.0,top
R19,17.11,7.5,270.0,top
R2,26.1,38.5,90.0,top
R20,72.4,28.0,270.0,top
R21,58.5,15.3,90.0,top
R22,53.0,2.3,0.0,top
R3,47.6,23.5,180.0,top
R4,47.6,25.0,180.0,top
R5,18.6,34.49,270.0,top
R6,21.6,34.5,270.0,top
R7,69.6,20.0,0.0,top
R8,45.1,27.51,90.0,top
R9,69.6,6.49,90.0,top
RESET,45.6,32.35,0.0,top
SERVO,85.6,6.5,0.0,top
U1,60.6,31.75,0.0,top
U2,24.58,23.93,180.0,top
U3,64.1,6.5,270.0,top
U5,35.95,38.5,180.0,top
UART0,84.75,44.3,0.0,top
