real_distance_cm,sample_number,measured_distance_cm
10.0,1,15.4
10.0,2,-1.0
10.0,3,15.06
10.0,4,15.06
10.0,5,14.37
10.0,6,14.37
10.0,7,14.37
10.0,8,14.37
10.0,9,14.71
10.0,10,14.71
10.0,11,14.71
10.0,12,14.71
10.0,13,14.37
10.0,14,14.37
10.0,15,14.37
10.0,16,14.37
10.0,17,14.03
10.0,18,15.06
10.0,19,15.06
10.0,20,15.06
10.0,21,14.71
10.0,22,14.71
10.0,23,14.71
10.0,24,14.37
10.0,25,14.37
10.0,26,14.37
10.0,27,14.37
10.0,28,15.74
10.0,29,15.76
10.0,30,15.74
10.0,31,15.74
10.0,32,15.76
10.0,33,15.76
10.0,34,14.37
10.0,35,14.37
10.0,36,14.37
10.0,37,14.37
10.0,38,14.37
10.0,39,14.37
10.0,40,14.37
10.0,41,14.37
10.0,42,14.37
10.0,43,14.37
10.0,44,14.37
10.0,45,14.37
10.0,46,14.37
10.0,47,14.37
10.0,48,14.37
10.0,49,14.37
10.0,50,14.37
20.0,1,24.83
20.0,2,-1.0
20.0,3,24.83
20.0,4,24.83
20.0,5,24.83
20.0,6,24.83
20.0,7,24.83
20.0,8,24.83
20.0,9,24.83
20.0,10,24.83
20.0,11,24.83
20.0,12,24.83
20.0,13,24.83
20.0,14,24.83
20.0,15,24.83
20.0,16,24.83
20.0,17,24.83
20.0,18,24.83
20.0,19,25.71
20.0,20,24.83
20.0,21,24.83
20.0,22,24.83
20.0,23,24.83
20.0,24,24.83
20.0,25,24.83
20.0,26,25.12
20.0,27,24.25
20.0,28,24.25
20.0,29,24.25
20.0,30,24.25
20.0,31,26.29
20.0,32,25.42
20.0,33,24.54
20.0,34,24.54
20.0,35,24.54
20.0,36,24.54
20.0,37,24.54
20.0,38,24.54
20.0,39,25.71
20.0,40,24.83
20.0,41,23.96
20.0,42,23.98
20.0,43,23.96
20.0,44,26.0
20.0,45,25.12
20.0,46,25.12
20.0,47,24.27
20.0,48,25.14
20.0,49,25.12
20.0,50,26.0
30.0,1,25.42
30.0,2,-1.0
30.0,3,25.43
30.0,4,26.31
30.0,5,25.71
30.0,6,24.83
30.0,7,25.71
30.0,8,25.14
30.0,9,25.12
30.0,10,25.12
30.0,11,26.02
30.0,12,25.42
30.0,13,24.54
30.0,14,24.54
30.0,15,24.83
30.0,16,24.83
30.0,17,23.96
30.0,18,23.96
30.0,19,24.83
30.0,20,24.85
30.0,21,24.25
30.0,22,24.25
30.0,23,24.27
30.0,24,24.25
30.0,25,24.25
30.0,26,24.25
30.0,27,24.25
30.0,28,24.25
30.0,29,24.25
30.0,30,24.25
30.0,31,24.25
30.0,32,24.25
30.0,33,24.25
30.0,34,24.25
30.0,35,24.25
30.0,36,24.25
30.0,37,24.25
30.0,38,24.25
30.0,39,24.25
30.0,40,24.25
30.0,41,24.25
30.0,42,24.25
30.0,43,24.25
30.0,44,24.25
30.0,45,24.25
30.0,46,24.25
30.0,47,24.25
30.0,48,24.25
30.0,49,24.25
30.0,50,24.25
40.0,1,29.74
40.0,2,-1.0
40.0,3,28.91
40.0,4,28.91
40.0,5,28.93
40.0,6,29.46
40.0,7,29.46
40.0,8,29.46
40.0,9,30.25
40.0,10,28.93
40.0,11,28.93
40.0,12,28.93
40.0,13,28.93
40.0,14,28.93
40.0,15,28.93
40.0,16,29.74
40.0,17,29.74
40.0,18,29.74
40.0,19,29.74
40.0,20,29.74
40.0,21,29.74
40.0,22,29.74
40.0,23,29.74
40.0,24,29.74
40.0,25,29.74
40.0,26,29.74
40.0,27,29.74
40.0,28,29.21
40.0,29,29.21
40.0,30,29.22
40.0,31,29.21
40.0,32,29.21
40.0,33,29.21
40.0,34,29.21
40.0,35,28.62
40.0,36,28.62
40.0,37,28.62
40.0,38,28.93
40.0,39,28.91
40.0,40,28.91
40.0,41,29.72
40.0,42,28.33
40.0,43,28.33
40.0,44,28.33
40.0,45,29.21
40.0,46,28.62
40.0,47,28.62
40.0,48,28.62
40.0,49,28.64
40.0,50,28.64
50.0,1,31.83
50.0,2,-1.0
50.0,3,31.57
50.0,4,32.09
50.0,5,32.09
50.0,6,32.6
50.0,7,32.6
50.0,8,32.6
50.0,9,33.13
50.0,10,32.34
50.0,11,32.36
50.0,12,32.34
50.0,13,32.88
50.0,14,32.88
50.0,15,32.09
50.0,16,32.6
50.0,17,32.62
50.0,18,33.13
50.0,19,33.13
50.0,20,32.36
50.0,21,32.88
50.0,22,32.88
50.0,23,33.39
50.0,24,33.92
50.0,25,33.13
50.0,26,33.13
50.0,27,33.67
50.0,28,33.67
50.0,29,32.88
50.0,30,33.39
50.0,31,33.39
50.0,32,33.39
50.0,33,33.39
50.0,34,33.92
50.0,35,33.92
50.0,36,33.92
50.0,37,34.44
50.0,38,33.65
50.0,39,33.67
50.0,40,33.67
50.0,41,34.18
50.0,42,34.18
50.0,43,33.41
50.0,44,33.41
50.0,45,33.39
50.0,46,33.39
50.0,47,33.39
50.0,48,33.39
50.0,49,33.39
50.0,50,33.39
60.0,1,32.34
60.0,2,-1.0
60.0,3,33.65
60.0,4,34.18
60.0,5,33.39
60.0,6,33.92
60.0,7,33.67
60.0,8,33.65
60.0,9,34.18
60.0,10,34.18
60.0,11,34.71
60.0,12,33.92
60.0,13,33.92
60.0,14,33.92
60.0,15,33.92
